surname,count
silva,9498
santos,6116
ferreira,4827
pereira,4699
oliveira,4258
costa,4138
rodrigues,3448
sousa,3369
martins,3323
almeida,2977
carvalho,2755
fernandes,2644
lopes,2632
marques,2628
ribeiro,2495
gomes,2471
pinto,2470
alves,2264
dias,2018
correia,1771
teixeira,1719
gonçalves,1667
mendes,1548
soares,1498
nunes,1435
moreira,1425
vieira,1359
monteiro,1325
rocha,1278
duarte,1275
cardoso,1248
castro,1209
cruz,1181
pires,1150
neves,1137
fonseca,1101
reis,1099
cunha,1080
coelho,1070
matos,1058
ramos,1037
machado,1017
lima,1009
goncalves,944
freitas,898
antunes,890
figueiredo,882
tavares,856
barbosa,836
azevedo,813
jesus,789
campos,780
melo,755
andrade,691
morais,684
barros,666
faria,660
brito,646
garcia,646
henriques,632
miranda,613
baptista,611
abreu,610
pinheiro,598
simões,592
moura,577
araújo,553
rosa,552
afonso,534
mota,527
vaz,526
nogueira,517
borges,513
neto,507
leite,495
esteves,461
amaral,453
magalhães,443
maia,436
gouveia,431
araujo,429
cabral,428
pinho,428
batista,428
branco,426
vasconcelos,422
jorge,416
guerreiro,412
torres,395
valente,381
paiva,375
lourenço,372
pacheco,370
macedo,370
bastos,370
nascimento,367
leal,363
loureiro,360
souza,353
domingues,341
carneiro,337
gaspar,333
guedes,332
cordeiro,323
simoes,320
saraiva,312
bento,311
franco,311
sampaio,310
maria,308
coutinho,304
aguiar,303
amorim,302
pedro,298
couto,297
rebelo,296
lemos,295
sequeira,292
vicente,286
albuquerque,283
freire,282
guerra,282
miguel,270
peixoto,270
conceição,269
gil,269
silveira,260
mesquita,259
madeira,258
carmo,255
mateus,255
serra,254
magalhaes,252
medeiros,251
veiga,251
morgado,249
vale,244
filipe,243
manuel,237
van,233
guimarães,231
ramalho,229
viana,229
matias,228
pais,227
francisco,224
leitão,221
viegas,221
lobo,220
pina,217
lourenco,217
braga,216
palma,215
godinho,215
ventura,213
conceicao,212
pimentel,210
carlos,209
raposo,207
delgado,206
trindade,204
mendonça,200
pimenta,200
xavier,200
figueira,195
botelho,193
roque,193
luis,192
graça,191
caldeira,189
barata,189
chaves,187
caetano,186
nobre,185
gonzalez,184
barroso,183
paulo,181
bernardo,180
martinho,179
menezes,178
amaro,178
dinis,177
guimaraes,176
david,175
gama,169
augusto,169
fontes,168
lucas,167
teles,166
luz,166
carreira,166
cerqueira,162
ferraz,159
brandão,158
salgado,156
barreto,156
calado,155
seabra,154
perez,154
fernandez,154
veloso,153
resende,151
queiroz,151
varela,151
rodriguez,151
paula,150
marinho,150
alexandre,150
antonio,149
abrantes,148
leitao,148
jose,147
pedrosa,146
martinez,144
rego,143
mendonca,141
domingos,139
lopez,139
diogo,138
santana,137
moutinho,136
moreno,136
filho,135
martin,132
meireles,131
sobral,130
madureira,130
kumar,130
serrano,129
cabrita,126
santiago,125
horta,124
seixas,124
sanches,120
sarmento,119
coimbra,119
meneses,118
santo,117
bessa,116
salgueiro,115
rosado,114
anjos,111
alberto,111
louro,109
silvestre,108
fialho,108
noronha,107
pestana,106
novais,105
amado,105
bettencourt,104
peres,104
ricardo,104
pessoa,104
pontes,104
sanchez,104
brandao,103
salvador,103
belo,102
farinha,102
aires,101
luís,101
barreira,99
portugal,99
castanheira,99
graca,99
fidalgo,98
conde,98
cristina,98
malheiro,97
furtado,97
mascarenhas,97
mata,96
faustino,96
vidal,96
grilo,96
alvarez,96
lacerda,95
ruiz,95
gomez,95
ferro,94
quaresma,94
passos,94
pedroso,93
caldas,93
jacinto,93
crespo,93
parreira,92
candeias,92
queirós,92
portela,91
real,91
marcos,90
lino,88
maciel,88
dantas,87
moniz,87
diniz,87
flores,87
falcão,86
sales,86
josé,85
gabriel,85
proença,84
cavaco,84
tomé,84
barreiros,84
bezerra,84
prata,83
paulino,83
assunção,82
agostinho,82
diaz,82
andré,81
vilela,81
garrido,81
bandeira,81
trigo,81
singh,81
mestre,80
bernardes,80
souto,80
mello,80
rosário,79
geraldes,79
carrilho,79
braz,79
marcelino,79
group,79
gameiro,78
clemente,77
marie,77
quintas,77
félix,77
camacho,77
vitorino,77
catarino,76
ruivo,76
mira,76
assis,76
raimundo,76
patricio,75
ponte,74
baltazar,73
castelo,73
brás,73
patrício,73
fragoso,73
inácio,72
frade,72
der,72
lee,72
pena,71
fraga,71
brites,70
cortez,70
rafael,70
fernando,70
paz,70
jardim,70
felix,70
wang,70
smith,70
rosario,70
mourão,69
osório,69
camara,69
aleixo,69
caeiro,69
zhang,69
moraes,69
jimenez,69
del,68
simão,68
daniel,68
bravo,68
vargas,68
lisboa,68
moita,67
bernardino,67
duque,67
alonso,67
sena,67
basto,66
pascoal,66
videira,66
rato,65
tomás,65
vilhena,65
parente,65
manso,65
chen,65
rita,64
piedade,63
andre,63
velez,63
romão,62
navarro,62
falcao,62
leão,62
casimiro,61
isabel,61
vilar,61
ana,61
soeiro,60
ali,59
deus,59
henrique,58
elias,58
gutierrez,58
guilherme,57
tomas,57
vila,57
romero,57
roberto,57
pierre,57
salazar,57
tiago,56
cavaleiro,56
novo,56
barradas,56
osorio,56
fernández,56
marta,56
john,56
marreiros,56
liu,56
taveira,56
bras,56
saldanha,55
joaquim,55
queiros,55
jones,55
teresa,55
meira,54
valentim,54
cravo,54
boavida,54
rodríguez,54
assuncao,54
thomas,54
russo,54
iglesias,54
the,54
semedo,53
nabais,53
fortes,53
paixao,53
prazeres,53
hernandez,52
pérez,52
gonzález,52
porto,52
gago,52
dores,52
rio,52
javier,52
mariano,51
mauricio,51
leao,51
galvao,51
medina,51
boas,51
joao,51
galvão,50
frança,50
claro,50
arruda,50
leandro,50
franca,50
robalo,50
pita,50
lage,50
lobato,50
pombo,50
paul,50
craveiro,50
ahmed,50
ramirez,50
garcía,49
mourao,49
juan,49
lapa,49
capela,49
proenca,49
vilas,49
huang,49
blanco,48
frazão,48
sabino,48
tome,48
forte,48
peter,48
verissimo,48
janeiro,48
correa,48
frias,47
leon,47
laranjeira,47
nóbrega,47
sardinha,47
ortiz,47
eduardo,47
zhao,47
castilho,46
prado,46
ben,46
inacio,46
fonte,45
severino,45
homem,45
vinagre,45
batalha,45
mora,45
santa,45
cortes,45
rezende,45
reddy,45
veríssimo,44
rios,44
quintela,44
custódio,44
serpa,44
dominguez,44
joão,44
joseph,44
rangel,44
pardal,44
taylor,44
montenegro,44
romao,44
belchior,43
nicolau,43
antónio,43
chagas,43
rosas,43
paixão,43
vazquez,43
ahmad,42
preto,42
ortega,42
pratas,42
bruno,42
rolo,42
estrela,42
farias,42
rei,42
dionisio,42
carreiro,42
constantino,42
kim,42
encarnação,41
taborda,41
relvas,41
vital,41
areias,41
clara,41
dourado,41
carmen,41
schmidt,40
malta,40
casal,40
câmara,40
couceiro,40
rua,40
lucena,40
paredes,40
khan,40
francois,40
zhou,40
and,40
michael,39
velho,39
narciso,39
pato,39
calvo,39
peralta,39
evangelista,39
salvado,39
sofia,39
jerónimo,39
carmona,39
simao,39
ferrao,39
brown,39
elena,39
munoz,39
evans,38
maio,38
colaço,38
martínez,38
firmino,38
espírito,38
canelas,38
casanova,38
wilson,38
den,38
oliva,37
fortunato,37
bacelar,37
seco,37
teodoro,37
quelhas,37
carrasco,37
curado,37
felgueiras,37
bispo,37
redondo,37
azeredo,37
levy,37
marco,37
alexander,37
gamboa,37
rojas,37
gregorio,37
urbano,36
amador,36
serafim,36
avila,36
feio,36
cesar,36
enes,36
mamede,36
castillo,36
custodio,36
scott,36
cavalcanti,36
espirito,36
reyes,36
schneider,36
branquinho,35
jacob,35
granja,35
infante,35
prieto,35
james,35
frazao,35
corte,35
encarnacao,35
aguilar,35
nobrega,35
aquino,35
lamas,35
gupta,35
nguyen,35
young,35
borralho,34
robert,34
vasques,34
caseiro,34
valle,34
ornelas,34
hall,34
feliciano,34
sacramento,34
valadas,34
leonardo,34
dionísio,34
abrunhosa,34
simas,34
morales,34
bueno,34
study,34
vilaça,33
tomaz,33
mourato,33
saavedra,33
avelar,33
canas,33
colaco,33
mano,33
gregório,33
weiss,33
luiz,33
gois,33
weber,33
albino,33
jan,33
guo,33
tinoco,32
nova,32
césar,32
neiva,32
jordão,32
figueiras,32
rito,32
vilarinho,32
quadros,32
lages,32
rodrigo,32
torre,32
nave,32
alexandra,32
lópez,32
helena,32
palacios,32
rossi,32
claude,32
patricia,32
durao,32
rao,32
pissarra,31
barreiro,31
varandas,31
roxo,31
marc,31
cerveira,31
anna,31
travassos,31
sobrinho,31
lago,31
von,31
sun,31
richard,31
rubio,31
barbas,30
brochado,30
nuno,30
cipriano,30
albergaria,30
fortuna,30
toledo,30
crispim,30
toscano,30
abranches,30
varanda,30
anne,30
maldonado,30
ibrahim,30
gordon,30
meyer,30
ibanez,30
consortium,30
cavalheiro,29
beja,29
sebastião,29
vasco,29
casaca,29
george,29
milheiro,29
camilo,29
dutra,29
raquel,29
arantes,29
linhares,29
justino,29
luna,29
vinhas,29
sharma,29
cancela,28
ramires,28
folgado,28
espada,28
montes,28
flor,28
bentes,28
ferrão,28
cadete,28
fontoura,28
vega,28
anacleto,28
faro,28
junqueira,28
hansen,28
ann,28
calheiros,28
lencastre,28
rico,28
centeno,28
lewis,28
sanz,28
villanueva,28
serrão,27
baeta,27
júnior,27
venâncio,27
bicho,27
aparicio,27
rainho,27
hipólito,27
sebastiao,27
motta,27
justo,27
rijo,27
rolim,27
parra,27
thompson,27
canto,27
quintino,27
prates,27
prasad,27
miller,27
cid,27
yang,27
adams,27
pablo,27
zhu,27
lorenzo,27
nagy,27
julio,27
jensen,27
yilmaz,27
bordalo,26
mimoso,26
valério,26
alvim,26
capelo,26
queiroga,26
gamito,26
damas,26
tenreiro,26
romano,26
marçal,26
perdigão,26
louis,26
cerdeira,26
ladeira,26
margarida,26
pulido,26
siqueira,26
mohamed,25
sánchez,25
alvarenga,25
ascensão,25
almada,25
perestrelo,25
girao,25
pilar,25
curto,25
palmeira,25
cristóvão,25
lara,25
ascenso,25
valverde,25
igreja,25
alcobia,25
diego,25
lameiras,25
alegre,25
alegria,25
beatriz,25
toth,25
viveiros,25
silvério,25
perdigao,25
rama,25
quinta,25
san,25
otero,25
felizardo,25
paes,25
ribas,25
molina,25
bianchi,25
escobar,25
iqbal,25
ochoa,25
vera,25
koch,25
wright,25
vries,25
prior,24
borba,24
catarina,24
maurício,24
durão,24
cotrim,24
garcez,24
malaquias,24
cosme,24
canhoto,24
pizarro,24
lira,24
lampreia,24
terra,24
bizarro,24
margarido,24
simon,24
jiang,24
adriano,24
charles,24
sancho,24
castanho,24
nery,24
pardo,24
cavalcante,24
shah,24
suarez,24
enrique,24
babu,24
wolf,24
nielsen,24
lebre,23
hassan,23
álvares,23
damasceno,23
allen,23
salema,23
valadares,23
magro,23
cabrera,23
diez,23
cavadas,23
geraldo,23
estêvão,23
sergio,23
shi,23
wagner,23
messias,23
beleza,23
longo,23
spencer,23
beato,23
lanca,23
rey,23
venancio,23
fagundes,23
januario,23
soto,23
basilio,23
wong,23
arias,23
anderson,23
cohen,23
roy,23
choi,23
park,23
isidoro,22
gusmão,22
mena,22
corrêa,22
arriaga,22
viseu,22
barrocas,22
caiado,22
ponce,22
victor,22
madruga,22
cândido,22
florindo,22
gómez,22
coito,22
lousada,22
girão,22
rivera,22
contreras,22
negrão,22
gustavo,22
piteira,22
klein,22
becker,22
casas,22
verde,22
canha,22
fernanda,22
beirao,22
robles,22
felipe,22
yves,22
barbara,22
christian,22
white,22
grosso,21
puga,21
castela,21
chambel,21
grácio,21
sacadura,21
freixo,21
catalão,21
aragao,21
jeronimo,21
campelo,21
forjaz,21
caramelo,21
frutuoso,21
baião,21
salas,21
anthony,21
felício,21
arnold,21
douglas,21
vilares,21
boto,21
lin,21
telo,21
candido,21
monte,21
luisa,21
xiao,21
caballero,21
campbell,21
mario,21
sandoval,21
stewart,21
samuel,21
luc,21
popov,21
szabo,21
laura,21
european,21
estima,20
sereno,20
alvares,20
pessanha,20
miguens,20
carvalhais,20
mouta,20
nolasco,20
brum,20
ruano,20
carapinha,20
borrego,20
calisto,20
goulart,20
roca,20
pedreira,20
murta,20
sepulveda,20
reza,20
estrada,20
lança,20
lúcio,20
guiomar,20
visser,20
poças,20
perry,20
valdez,20
ataide,20
vitor,20
peters,20
hussain,20
camargo,20
marto,20
guia,20
nicolas,20
marin,20
eira,20
fischer,20
king,20
andres,20
jacobs,20
hidalgo,20
antao,20
mendoza,20
kelly,20
team,20
alho,19
bragança,19
gordo,19
onofre,19
breda,19
póvoa,19
lomba,19
valerio,19
jacques,19
carvalhal,19
modesto,19
henry,19
cristovao,19
angel,19
marcelo,19
aparecida,19
aparício,19
vidigal,19
bom,19
beirão,19
eiras,19
alexandrino,19
barcelos,19
cepeda,19
gandra,19
carolino,19
ivanova,19
brasil,19
lucio,19
herrera,19
baiao,19
williams,19
alba,19
collaboration,19
ullah,19
azenha,18
carvalhinho,18
leiria,18
carriço,18
antão,18
heleno,18
timóteo,18
quintal,18
bugalho,18
parada,18
mafra,18
cameira,18
ferrer,18
carreiras,18
paisana,18
rosmaninho,18
aragão,18
eusébio,18
caires,18
abecasis,18
rasteiro,18
boaventura,18
placido,18
tuna,18
russell,18
neri,18
herrero,18
esperanca,18
góis,18
violante,18
senra,18
davies,18
braganca,18
laranjo,18
ruas,18
fuentes,18
norton,18
gato,18
fatima,18
nina,18
campo,18
william,18
ricci,18
howard,18
cui,18
bexiga,18
liberato,18
vogel,18
merino,18
vasconcellos,18
joana,18
luca,18
benito,18
carlo,18
graham,18
kuhn,18
godoy,18
boer,18
laureano,17
padrão,17
cristo,17
telles,17
sottomayor,17
bonito,17
cruzeiro,17
carita,17
sardo,17
rendeiro,17
alcântara,17
eva,17
anjo,17
estevao,17
grande,17
serrao,17
silverio,17
cerejo,17
policarpo,17
jean,17
caridade,17
serôdio,17
galhardo,17
liang,17
esperança,17
mayer,17
nelson,17
michel,17
durães,17
crisóstomo,17
lopo,17
alfaiate,17
rui,17
ferreirinha,17
querido,17
rivas,17
roriz,17
capucho,17
donato,17
fino,17
mattos,17
villa,17
solano,17
segura,17
plaza,17
ayala,17
susana,17
huber,17
anastacio,17
wood,17
maduro,17
gray,17
erik,17
emilio,17
cano,17
rahman,17
lozano,17
dolores,17
rehman,17
philippe,17
zimmermann,17
shaw,17
sonia,17
stone,17
johnson,17
eusebio,17
jordao,17
esposito,17
ludwig,17
pedersen,17
jong,17
witte,17
fox,17
kaur,17
groot,17
abu,17
serras,16
ros,16
ambrósio,16
januário,16
bach,16
ceia,16
botas,16
fuente,16
contente,16
são,16
gaio,16
subtil,16
galego,16
viola,16
carvalheiro,16
trigueiros,16
faia,16
guerrero,16
granadeiro,16
aroso,16
ballesteros,16
rufino,16
edward,16
mary,16
elisabeth,16
cota,16
ferreiro,16
anes,16
calixto,16
alcantara,16
andrea,16
berger,16
seguro,16
biscaia,16
berg,16
seara,16
benoit,16
vilaca,16
calhau,16
veludo,16
arrais,16
fleming,16
fazenda,16
mayor,16
prada,16
crisostomo,16
malveiro,16
côrte-real,16
gonzaga,16
anselmo,16
hill,16
vara,16
angelo,16
aydin,16
padilha,16
ivanov,16
pastor,16
albert,16
ávila,16
frank,16
pego,16
schwarz,16
baldaia,16
khalil,16
page,16
mineiro,16
lazaro,16
schmid,16
bittencourt,16
valenzuela,16
adam,16
guzman,16
dal,16
izquierdo,16
werner,16
sierra,16
pham,16
feitosa,16
ascencao,16
arce,16
webb,16
friedrich,16
ignacio,16
alencar,16
rashid,16
morão,15
duro,15
carapeto,15
bartolomeu,15
pisco,15
pamplona,15
ramalhete,15
rainha,15
athayde,15
ascensao,15
tadeu,15
adão,15
matoso,15
carrico,15
mexia,15
frederico,15
peixe,15
estevinho,15
prudêncio,15
calçada,15
moleiro,15
carmelo,15
penha,15
balsa,15
carvalheira,15
bonifácio,15
cardona,15
ramiro,15
harris,15
d'almeida,15
lamy,15
cebola,15
cerejeira,15
sepúlveda,15
gregory,15
marujo,15
evaristo,15
ayres,15
costeira,15
escudeiro,15
vincent,15
picado,15
augusta,15
meirinhos,15
lau,15
cleto,15
roseiro,15
hora,15
geada,15
gentil,15
barbieri,15
azambuja,15
esteban,15
barreiras,15
chung,15
olim,15
johannes,15
song,15
said,15
lins,15
norte,15
duncan,15
mitchell,15
cox,15
otto,15
chan,15
aniceto,15
sahu,15
mahmoud,15
nora,15
murray,15
walker,15
urban,15
kern,15
regina,15
marcal,15
nazare,15
cook,15
green,15
schulz,15
abou,15
for,15
canário,14
agra,14
polónia,14
toste,14
lavrador,14
camelo,14
nazaré,14
basílio,14
vinha,14
liberal,14
canavarro,14
alvaro,14
contreiras,14
semião,14
isidro,14
murteira,14
claudino,14
vitória,14
vassalo,14
fontaine,14
seiça,14
serralheiro,14
raminhos,14
hussein,14
ivo,14
nieto,14
beltran,14
bernard,14
peixinho,14
almendra,14
negreiros,14
drumond,14
fátima,14
natividade,14
torrado,14
álvarez,14
feng,14
guterres,14
lameira,14
amarante,14
antas,14
elvas,14
guarda,14
doria,14
plácido,14
cabaço,14
avelino,14
salinas,14
palha,14
goes,14
festas,14
celestino,14
bivar,14
ambrosio,14
grave,14
bicudo,14
alferes,14
azinheira,14
macieira,14
arsenio,14
penedo,14
lorena,14
hernández,14
elizabeth,14
palmeiro,14
moncada,14
garces,14
carretero,14
bermudez,14
felicio,14
dai,14
espinosa,14
gerardo,14
jane,14
vianna,14
chu,14
jain,14
aranda,14
pascual,14
craig,14
mariz,14
quiterio,14
monge,14
santamaria,14
villalobos,14
blom,14
alejandro,14
laranjeiro,14
rose,14
lurdes,14
losada,14
simone,14
velasco,14
xue,14
rojo,14
gloria,14
brazao,14
jeremias,14
netto,14
quintana,14
harrison,14
yin,14
clark,14
leeuw,14
acosta,14
jung,14
ordonez,14
wei,14
casado,14
ulrich,14
mendez,14
koenig,14
villar,14
oliver,14
cheng,14
hayes,14
kok,14
xie,14
ward,14
olga,14
julia,14
estanqueiro,13
claudio,13
rodeia,13
newton,13
ataíde,13
rêgo,13
pintado,13
pequeno,13
rosendo,13
albano,13
lucia,13
aranha,13
leme,13
senos,13
arez,13
soveral,13
lehmann,13
tereso,13
malheiros,13
rebocho,13
abelha,13
heitor,13
cascais,13
verdelho,13
barroca,13
zheng,13
covas,13
cardeira,13
tovar,13
landeiro,13
dimas,13
anastácio,13
didier,13
ismail,13
sampayo,13
barriga,13
reino,13
vala,13
arroyo,13
quadrado,13
sobreira,13
claire,13
cadima,13
luzio,13
páscoa,13
torrão,13
estevão,13
lázaro,13
felisberto,13
holm,13
trujillo,13
fiuza,13
fachada,13
damião,13
bidarra,13
salles,13
hoffmann,13
maltez,13
clarke,13
victoria,13
damasio,13
ribau,13
chichorro,13
babo,13
figueroa,13
bello,13
goulão,13
adao,13
rosales,13
hong,13
mantas,13
zacarias,13
petrov,13
larsen,13
sebastian,13
bertrand,13
walter,13
price,13
bell,13
montserrat,13
angelis,13
man,13
aguas,13
reynolds,13
vos,13
reed,13
novaes,13
krishna,13
nicola,13
polido,13
sola,13
luo,13
vasquez,13
silvia,13
hahn,13
alfonso,13
duran,13
ryan,13
lange,13
tian,13
duraes,13
bonifacio,13
los,13
fournier,13
benjamin,13
galante,13
roman,13
prakash,13
gallego,13
salem,13
ernst,13
pineda,13
restrepo,13
sheikh,13
hua,13
walsh,13
haddad,13
roux,13
fritz,13
jia,13
sole,13
abbas,13
conrad,13
wit,13
porta,12
bebiano,12
banha,12
quintanilha,12
rebola,12
caria,12
lloyd,12
metelo,12
lagoa,12
velosa,12
drummond,12
melim,12
cidade,12
cláudio,12
mouro,12
sarabando,12
ramada,12
direito,12
gonsalves,12
roldão,12
montez,12
brazão,12
basso,12
leslie,12
alcoforado,12
galindo,12
vivas,12
florêncio,12
keating,12
escaleira,12
tedim,12
corte-real,12
barão,12
torgal,12
galhardas,12
krug,12
arnaud,12
val,12
alfaro,12
valencia,12
yoon,12
yuan,12
quental,12
segurado,12
goulao,12
alarcao,12
portas,12
primo,12
stefan,12
antoine,12
villaverde,12
gallardo,12
amante,12
manteigas,12
cardim,12
roos,12
ramon,12
nepomuceno,12
paulos,12
canedo,12
lam,12
paolo,12
ângelo,12
grade,12
font,12
parracho,12
lalanda,12
tito,12
serodio,12
davis,12
claudia,12
garcês,12
pazos,12
martín,12
abad,12
baía,12
dâmaso,12
humberto,12
moser,12
diz,12
louise,12
nair,12
furlan,12
thiel,12
dutta,12
soler,12
jun,12
maximiano,12
mercedes,12
gould,12
hugo,12
sara,12
shen,12
cardenas,12
gallo,12
berenguer,12
islam,12
diana,12
jakob,12
hossein,12
harvey,12
benedetti,12
apolinario,12
barrios,12
habib,12
raymond,12
nunez,12
west,12
sullivan,12
bakker,12
kiss,12
pujol,12
mueller,12
eriksson,12
domenech,12
aguilera,12
jin,12
mori,12
pons,12
committee,12
hunt,12
ellis,12
working,12
cartaxo,11
maior,11
granado,11
quirino,11
germano,11
aveiro,11
espadinha,11
estevez,11
sintra,11
melro,11
faisca,11
gamelas,11
martelo,11
perfeito,11
rocheta,11
calvão,11
pêgo,11
trancoso,11
sucena,11
abel,11
bárbara,11
ferrari,11
sargento,11
o'neill,11
pedras,11
morim,11
borlido,11
zagalo,11
cortesão,11
prista,11
lourdes,11
praca,11
ascenção,11
gaudencio,11
barry,11
marina,11
namorado,11
sol,11
fragata,11
charrua,11
burnay,11
agapito,11
alvelos,11
sande,11
torcato,11
ermida,11
barahona,11
vázquez,11
madaleno,11
rola,11
radu,11
quina,11
peneda,11
bigotte,11
magno,11
espinha,11
grazina,11
bartolo,11
portocarrero,11
cisneros,11
lorenz,11
catela,11
camarinha,11
joyce,11
beça,11
janssen,11
armando,11
naia,11
baia,11
alpoim,11
aboim,11
garrett,11
borja,11
limpo,11
mathias,11
quinteiro,11
pádua,11
feiteira,11
pupo,11
damiao,11
grant,11
menino,11
arsénio,11
jackson,11
lavado,11
mann,11
kunz,11
chora,11
roldao,11
abdel,11
cova,11
moral,11
levi,11
wilhelm,11
anton,11
marchi,11
vitoria,11
casteleiro,11
ines,11
francesco,11
puente,11
cabezas,11
vanessa,11
sandra,11
holland,11
soriano,11
daniela,11
raju,11
muller,11
stein,11
montero,11
christine,11
cai,11
heras,11
riva,11
nash,11
espinoza,11
tran,11
las,11
mejia,11
suárez,11
d'orey,11
angeles,11
ivan,11
morgan,11
carolina,11
mohammad,11
puig,11
bacalhau,11
holanda,11
paco,11
capitao,11
remedios,11
hipolito,11
chong,11
dietz,11
schwartz,11
zeng,11
amin,11
wen,11
chiara,11
ford,11
moghaddam,11
devi,11
ott,11
kerr,11
kemp,11
mathieu,11
hsu,11
glass,11
xiong,11
woo,11
zapata,11
bush,11
research,11
investigators,11
camões,10
capelas,10
galhano,10
jaramillo,10
gabriela,10
serrenho,10
ramalheira,10
eleutério,10
cascão,10
silvano,10
negrao,10
lagarto,10
outeiro,10
apolinário,10
areosa,10
inês,10
novoa,10
alarcão,10
ravara,10
saez,10
pombeiro,10
monica,10
guardado,10
águas,10
saramago,10
sommer,10
roma,10
patrão,10
miguez,10
crawford,10
fouto,10
paquete,10
laia,10
edgar,10
capitão,10
piçarra,10
niza,10
cordovil,10
faleiro,10
resendes,10
lousa,10
popovic,10
júlio,10
